,age,education,race_ethnicity,hypertension,arthritis
age,0.0,-0.06572270403164564,0.0029769465210808645,0.30175746495111444,0.16025829122239213
education,-0.06572270403164564,0.0,0.4420566397983109,-0.05345955317574192,0.015903013549111746
race_ethnicity,0.0029769465210808645,0.4420566397983109,0.0,0.03995414556764053,0.045287778213929285
hypertension,0.30175746495111444,-0.05345955317574192,0.03995414556764053,0.0,-0.1255697224687053
arthritis,0.16025829122239213,0.015903013549111746,0.045287778213929285,-0.1255697224687053,0.0
