fraction,latent_dim,wasserstein,wasserstein,macro_f1,macro_f1
,,mean,std,mean,std
0.05,12,0.3711882081993425,0.00873725334984167,0.23288257763283565,0.04108244999737631
0.05,16,0.36819242390658435,0.007785166836395847,0.22418628962008205,0.016917540358599784
0.05,20,0.36996294899234444,0.008570680901713172,0.21223295821878913,0.036668560770752825
0.05,23,0.37497986015170887,0.008202457093972593,0.21056453674469652,0.013926148644320511
0.1,12,0.3772561703586172,0.012178781834370123,0.22368121189754325,0.013017997355680098
0.1,16,0.36796702223131383,0.009200843747357417,0.20943090301857897,0.0216223738821219
0.1,20,0.3699265613743928,0.007555064690347691,0.2136193103474934,0.024208343495909175
0.1,23,0.37421588774718484,0.007208361628099188,0.2207331903013187,0.01400592569791895
0.2,12,0.376187541557952,0.004972171422354642,0.22972459728754974,0.015137849922905382
0.2,16,0.3638123164329873,0.0057830601309734764,0.22163849631661617,0.011856027862275862
0.2,20,0.3663726770886305,0.004922193503629199,0.21753742352867694,0.012883494513211599
0.2,23,0.3713046521608895,0.003307430291014446,0.21381593819741215,0.014101976125953503
0.3,12,0.3750460743484013,0.0042518530450920515,0.22210319243709414,0.018083399042398342
0.3,16,0.36417210287598756,0.004054016416518241,0.2147067152583407,0.009588048534003303
0.3,20,0.36684458327710706,0.0026829328230674673,0.21887522677055643,0.02449211404806798
0.3,23,0.37100595641400835,0.002118750286212013,0.22870523862549033,0.0191295968472859
