observed_fraction,observed_rows,hidden_rows,test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,hidden_spd,reconstructed_spd,spd_absolute_gap,runtime_seconds,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.05,1049,19949,9975,12,1,0.2576871021103815,0.34428282304633107,4.097368646419777,2.881227201751454,0.0011028121710361105,0.00910981934955929,0.002973706498004214,0.006136112851555076,0.6010189056396484,0.7531829573934837,0.6020502863976337,0.5981507563444878,0.8973027768007175
0.05,1049,19949,9975,12,2,0.2594114993232743,0.34530095871452915,4.091262827914694,2.885874573612665,0.0008020452152990298,0.00910981934955929,0.00543480960953821,0.003675009740021079,0.6044158935546875,0.7554887218045113,0.6024297281227277,0.5983098463179312,0.8957718306244797
0.05,1049,19949,9975,12,3,0.258758166658312,0.34546888555240896,4.0991523375576095,2.8890032357135573,0.008521730412551949,0.00910981934955929,0.0077657627732095336,0.0013440565763497558,0.6000504493713379,0.7528822055137845,0.6003633783512969,0.5969263805904811,0.8961730781576318
0.05,1049,19949,9975,12,4,0.2585259077313817,0.3440288646911337,4.091524285452319,2.8844064027822545,0.008020452152990097,0.00910981934955929,0.006068207414999388,0.0030416119345599013,0.6101272106170654,0.7592982456140351,0.6066095419574621,0.601638702697239,0.8911682916749192
0.05,1049,19949,9975,12,5,0.25995789262619684,0.3450891062397181,4.089991240404021,2.884497596317082,0.009825053887412893,0.00910981934955929,0.0006917195877839677,0.008418099761775322,0.608116626739502,0.7505764411027569,0.5991972458076176,0.5954336264637864,0.893052785505667
0.05,1049,19949,9975,16,1,0.24608083947399204,0.328607975020405,2.651406572129975,2.217896128281559,0.009825053887412893,0.00910981934955929,0.0006917195877839677,0.008418099761775322,0.7803468704223633,0.7751378446115288,0.6239048404809271,0.6144834371753806,0.9115171436700119
0.05,1049,19949,9975,16,2,0.2467809581098468,0.33019915232539404,2.6302745723623517,2.2118123785218082,0.005915083462830206,0.00910981934955929,0.006865192544354415,0.0022446268052048746,0.7985560894012451,0.7784461152882205,0.6264164371118389,0.6163734086639938,0.9143720460347027
0.05,1049,19949,9975,16,3,0.24639497384998413,0.32935843815147436,2.658483816141473,2.2199109934376082,0.0033084365131083662,0.00910981934955929,0.0016950167491523171,0.007414802600406972,0.7894585132598877,0.7656140350877193,0.6127161724834149,0.6054550259632181,0.908431064369504
0.05,1049,19949,9975,16,4,0.24542917773656153,0.3289058664688794,2.640847790131332,2.2017132339281047,0.006717128678129208,0.00910981934955929,0.004086754437703455,0.005023064911855835,0.7860293388366699,0.7814536340852131,0.6289167936492943,0.6183999402718472,0.9164655301137961
0.05,1049,19949,9975,16,5,0.24614767657526693,0.3300780513603515,2.646998261163269,2.209142071645964,0.014938092134944084,0.00910981934955929,0.0021214311619627,0.006988388187596589,0.7849600315093994,0.7758395989974938,0.6240445950416427,0.6139256146414738,0.9096956207007956
0.05,1049,19949,9975,20,1,0.2412401624141561,0.32624987512478626,1.761651789673181,1.7179844403905877,0.014938092134944084,0.00910981934955929,0.0021214311619627,0.006988388187596589,1.0329725742340088,0.7855639097744361,0.641141792949593,0.63287571908763,0.9194466158835088
0.05,1049,19949,9975,20,2,0.24213243771617624,0.3276206380921769,1.7588438648978137,1.7214367171985592,0.009724798235500487,0.00910981934955929,0.0012843550886280641,0.007825464260931225,1.030043601989746,0.7843609022556391,0.6391021773073007,0.6295711590328877,0.9177799532264999
0.05,1049,19949,9975,20,3,0.24084916537169787,0.3281562067684626,1.7649452659299283,1.7147132585759506,0.02275803298410948,0.00910981934955929,0.004742806176887632,0.004367013172671658,1.0298738479614258,0.7847619047619048,0.6378733571915941,0.6265149581031724,0.9176999458592571
0.05,1049,19949,9975,20,4,0.24103630925526767,0.3261743175136269,1.758491740969289,1.7214768379165373,0.013735024311995615,0.00910981934955929,0.0071778213739909225,0.001931997975568367,1.03525710105896,0.7840601503759399,0.6375609544459944,0.6264385489362045,0.9161802371262296
0.05,1049,19949,9975,20,5,0.23983658328738283,0.3265961214467397,1.7863314497040523,1.7276437015837218,0.007017895633866358,0.00910981934955929,0.00637077335739708,0.002739045992162209,1.0310072898864746,0.7818546365914787,0.6506996561019052,0.652695783606432,0.9175047292696273
0.05,1049,19949,9975,23,1,0.23486891573512458,0.31672436473539095,1.2333741831929494,1.4676827380150521,0.013735024311995615,0.00910981934955929,0.0071778213739909225,0.001931997975568367,1.2256884574890137,0.7537844611528822,0.7066877682721225,0.6822489586218646,0.9136202662484173
0.05,1049,19949,9975,23,2,0.2358865106020352,0.31729546464574,1.2269736192103662,1.4544184970317116,0.007017895633866358,0.00910981934955929,0.00637077335739708,0.002739045992162209,1.230097770690918,0.7552882205513785,0.7006589886118699,0.6806225272338056,0.9134714851442665
0.05,1049,19949,9975,23,3,0.23537687770481394,0.3170546867825485,1.2292631888784753,1.4339503111583112,0.013634768660083188,0.00910981934955929,0.00583283322258496,0.0032769861269743294,1.230123519897461,0.752280701754386,0.6979816494277951,0.6756482128274746,0.9125916049360463
0.05,1049,19949,9975,23,4,0.2350694270389493,0.3173895562838644,1.2532789705222376,1.450365216945622,0.01263221214095945,0.00910981934955929,0.0007478712858553505,0.008361948063703939,1.2303228378295898,0.7573934837092732,0.7070109351005753,0.6849698388270579,0.9147787505590786
0.05,1049,19949,9975,23,5,0.23404681938944308,0.31710165982550187,1.2449979706095644,1.4657899543110726,0.0099253095393253,0.00910981934955929,0.0032166465619968276,0.005893172787562462,1.227271318435669,0.7550877192982456,0.7054173677227269,0.6829071744353521,0.9140535657645725
0.1,2099,18899,9450,12,1,0.2616011429176147,0.34148540620866197,4.079034763245092,2.685206943487585,0.006561193713953063,0.010455103889461748,0.007458162388687434,0.002996941500774314,0.5802047252655029,0.7556613756613757,0.6033495547919099,0.5988642037343905,0.9023665732518787
0.1,2099,18899,9450,12,2,0.2608991657406918,0.34125314066668466,4.061926661828993,2.6815437371608293,0.006032065188634354,0.010455103889461748,0.003171690025575602,0.007283413863886146,0.581223726272583,0.7532275132275132,0.6019184176403697,0.597698847809548,0.900339495511849
0.1,2099,18899,9450,12,3,0.2619874067410974,0.34103685262166566,4.0814539604383,2.6942789014519577,0.009735964865865934,0.010455103889461748,0.001102562887262598,0.00935254100219915,0.5893962383270264,0.7557671957671958,0.6056446801137404,0.6003412048166145,0.9014784081103462
0.1,2099,18899,9450,12,4,0.26189216360654005,0.3414833297089483,4.0691974186278586,2.6838481989755967,0.006243716598761891,0.010455103889461748,0.010813710868465443,0.000358606979003695,0.5919520854949951,0.758095238095238,0.6073156287174393,0.6021504838105753,0.8988024603468404
0.1,2099,18899,9450,12,5,0.261355980034217,0.3409774820115829,4.061919644697883,2.680423434409862,0.013651515953225071,0.010455103889461748,0.0015772371595017542,0.008877866729959993,0.5872135162353516,0.7622222222222222,0.6075020587586223,0.602375143148245,0.9016909335501627
0.1,2099,18899,9450,16,1,0.24827063160308305,0.32653888206896864,2.6294599882144993,1.9675672494108654,0.013651515953225071,0.010455103889461748,0.0015772371595017542,0.008877866729959993,0.7753872871398926,0.7767195767195767,0.6269988523386782,0.6156541829096422,0.9042613437311836
0.1,2099,18899,9450,16,2,0.24851403072472972,0.3264531877389618,2.631758260660291,1.9754312898939377,0.007407799354463181,0.010455103889461748,0.0016518748832021202,0.008803229006259627,0.7753937244415283,0.7717460317460317,0.6212192772233381,0.6124366872935919,0.9100565293977998
0.1,2099,18899,9450,16,3,0.24840114997266172,0.32488272342691943,2.6280818107975876,1.9649003867270185,0.00455050531774169,0.010455103889461748,0.010798787511320906,0.0003436836218591588,0.7596685886383057,0.7784126984126984,0.6288779838935272,0.6179212839339977,0.911027707703859
0.1,2099,18899,9450,16,4,0.24933947122422703,0.32542532884044556,2.626523270017001,1.9583936678000013,0.0024339912164665287,0.010455103889461748,0.009011899689883751,0.0014432041995779965,0.7700088024139404,0.7848677248677248,0.6353135187842085,0.6222935674180679,0.9078865903477283
0.1,2099,18899,9450,16,5,0.24856341605375945,0.326621463828823,2.6247484191656865,1.9733939286040265,0.0017990369860839406,0.010455103889461748,0.004869725750631382,0.005585378138830366,0.7609243392944336,0.7762962962962963,0.6257209914226691,0.6154483907790281,0.9062480797507966
0.1,2099,18899,9450,20,1,0.2424343439688167,0.3240967270268298,1.6872584653185465,1.3742932435053412,0.0017990369860839406,0.010455103889461748,0.004869725750631382,0.005585378138830366,0.960437536239624,0.782962962962963,0.6347711818253048,0.6210038270692593,0.9196470034661303
