k,silhouette_score,inertia,adjusted_rand_with_target,normalized_mutual_info_with_target
2,0.14347660197993983,351186.7908646711,0.1528915069286836,0.13581665313445518
3,0.10513554204253349,321018.5551651648,0.09769583925151991,0.10594542338851522
4,0.10922728820943158,300325.1069719935,0.07608562752802535,0.08138540201196386
5,0.11447827350734754,283418.59751194756,0.08088738528392136,0.08443104512660819
6,0.10291862753170791,271393.66249120684,0.06240794996511184,0.07926292761442738
7,0.10457575821984898,260098.38727746054,0.05964089158619173,0.07514255686562285
8,0.10095550043807247,250995.08533217112,0.05515262599021717,0.07400731608993122
