component,nhanes_explained_variance_ratio,hrs_explained_variance_ratio,nhanes_cumulative_variance,hrs_cumulative_variance
1,0.27684143526404026,0.23903995413880785,0.27684143526404026,0.23903995413880785
2,0.2510691007005188,0.23145546397176217,0.5279105359645591,0.47049541811057005
3,0.19431330439464314,0.19976576167493232,0.7222238403592022,0.6702611797855024
4,0.14667470689917292,0.16854419572012688,0.8688985472583751,0.8388053755056293
5,0.1311014527416249,0.1611946244943708,1.0,1.0
