sensitive_attribute,subgroup,target_value,within_subgroup_rate
income_poverty_ratio,0.24,0.0,0.75
income_poverty_ratio,0.24,1.0,0.0
income_poverty_ratio,0.24,2.0,0.0
income_poverty_ratio,0.24,3.0,0.25
income_poverty_ratio,0.25,0.0,0.42857142857142855
income_poverty_ratio,0.25,1.0,0.0
income_poverty_ratio,0.25,2.0,0.5
income_poverty_ratio,0.25,3.0,0.07142857142857142
income_poverty_ratio,0.26,0.0,0.4
income_poverty_ratio,0.26,1.0,0.0
income_poverty_ratio,0.26,2.0,0.4
income_poverty_ratio,0.26,3.0,0.2
income_poverty_ratio,0.27,0.0,0.1111111111111111
income_poverty_ratio,0.27,1.0,0.0
income_poverty_ratio,0.27,2.0,0.5555555555555556
income_poverty_ratio,0.27,3.0,0.3333333333333333
income_poverty_ratio,0.28,0.0,0.3333333333333333
income_poverty_ratio,0.28,1.0,0.0
income_poverty_ratio,0.28,2.0,0.25
income_poverty_ratio,0.28,3.0,0.4166666666666667
income_poverty_ratio,0.29,0.0,0.14285714285714285
income_poverty_ratio,0.29,1.0,0.0
income_poverty_ratio,0.29,2.0,0.5714285714285714
income_poverty_ratio,0.29,3.0,0.2857142857142857
income_poverty_ratio,0.3,0.0,0.3333333333333333
income_poverty_ratio,0.3,1.0,0.1111111111111111
income_poverty_ratio,0.3,2.0,0.4444444444444444
income_poverty_ratio,0.3,3.0,0.1111111111111111
income_poverty_ratio,0.31,0.0,0.5
income_poverty_ratio,0.31,1.0,0.05555555555555555
income_poverty_ratio,0.31,2.0,0.16666666666666666
income_poverty_ratio,0.31,3.0,0.2777777777777778
income_poverty_ratio,0.32,0.0,0.0
income_poverty_ratio,0.32,1.0,0.0
income_poverty_ratio,0.32,2.0,0.25
income_poverty_ratio,0.32,3.0,0.75
income_poverty_ratio,0.33,0.0,0.29411764705882354
income_poverty_ratio,0.33,1.0,0.058823529411764705
income_poverty_ratio,0.33,2.0,0.35294117647058826
income_poverty_ratio,0.33,3.0,0.29411764705882354
income_poverty_ratio,0.34,0.0,0.09090909090909091
income_poverty_ratio,0.34,1.0,0.0
income_poverty_ratio,0.34,2.0,0.8181818181818182
income_poverty_ratio,0.34,3.0,0.09090909090909091
income_poverty_ratio,0.35,0.0,0.11538461538461539
income_poverty_ratio,0.35,1.0,0.038461538461538464
income_poverty_ratio,0.35,2.0,0.6153846153846154
income_poverty_ratio,0.35,3.0,0.23076923076923078
income_poverty_ratio,0.36,0.0,0.18181818181818182
income_poverty_ratio,0.36,1.0,0.18181818181818182
income_poverty_ratio,0.36,2.0,0.2727272727272727
income_poverty_ratio,0.36,3.0,0.36363636363636365
income_poverty_ratio,0.37,0.0,0.4
income_poverty_ratio,0.37,1.0,0.0
income_poverty_ratio,0.37,2.0,0.4
income_poverty_ratio,0.37,3.0,0.2
income_poverty_ratio,0.38,0.0,0.25
income_poverty_ratio,0.38,1.0,0.0
income_poverty_ratio,0.38,2.0,0.625
income_poverty_ratio,0.38,3.0,0.125
income_poverty_ratio,0.39,0.0,0.3333333333333333
income_poverty_ratio,0.39,1.0,0.08333333333333333
income_poverty_ratio,0.39,2.0,0.25
income_poverty_ratio,0.39,3.0,0.3333333333333333
income_poverty_ratio,0.4,0.0,0.3684210526315789
income_poverty_ratio,0.4,1.0,0.0
income_poverty_ratio,0.4,2.0,0.42105263157894735
income_poverty_ratio,0.4,3.0,0.21052631578947367
income_poverty_ratio,0.41,0.0,0.3181818181818182
income_poverty_ratio,0.41,1.0,0.045454545454545456
income_poverty_ratio,0.41,2.0,0.2727272727272727
income_poverty_ratio,0.41,3.0,0.36363636363636365
income_poverty_ratio,0.42,0.0,0.20833333333333334
income_poverty_ratio,0.42,1.0,0.125
income_poverty_ratio,0.42,2.0,0.25
income_poverty_ratio,0.42,3.0,0.4166666666666667
income_poverty_ratio,0.43,0.0,0.42105263157894735
income_poverty_ratio,0.43,1.0,0.0
income_poverty_ratio,0.43,2.0,0.21052631578947367
income_poverty_ratio,0.43,3.0,0.3684210526315789
income_poverty_ratio,0.44,0.0,0.2727272727272727
income_poverty_ratio,0.44,1.0,0.0
income_poverty_ratio,0.44,2.0,0.45454545454545453
income_poverty_ratio,0.44,3.0,0.2727272727272727
income_poverty_ratio,0.45,0.0,0.5833333333333334
income_poverty_ratio,0.45,1.0,0.08333333333333333
income_poverty_ratio,0.45,2.0,0.16666666666666666
income_poverty_ratio,0.45,3.0,0.16666666666666666
income_poverty_ratio,0.46,0.0,0.26666666666666666
income_poverty_ratio,0.46,1.0,0.0
income_poverty_ratio,0.46,2.0,0.5333333333333333
income_poverty_ratio,0.46,3.0,0.2
income_poverty_ratio,0.47,0.0,0.6666666666666666
income_poverty_ratio,0.47,1.0,0.0
income_poverty_ratio,0.47,2.0,0.25
income_poverty_ratio,0.47,3.0,0.08333333333333333
income_poverty_ratio,0.48,0.0,0.2857142857142857
income_poverty_ratio,0.48,1.0,0.0
income_poverty_ratio,0.48,2.0,0.5
income_poverty_ratio,0.48,3.0,0.21428571428571427
income_poverty_ratio,0.49,0.0,0.2
income_poverty_ratio,0.49,1.0,0.06666666666666667
income_poverty_ratio,0.49,2.0,0.4
income_poverty_ratio,0.49,3.0,0.3333333333333333
income_poverty_ratio,0.5,0.0,0.0
income_poverty_ratio,0.5,1.0,0.0
income_poverty_ratio,0.5,2.0,0.6153846153846154
income_poverty_ratio,0.5,3.0,0.38461538461538464
income_poverty_ratio,0.51,0.0,0.42857142857142855
income_poverty_ratio,0.51,1.0,0.0
income_poverty_ratio,0.51,2.0,0.25
income_poverty_ratio,0.51,3.0,0.32142857142857145
income_poverty_ratio,0.52,0.0,0.391304347826087
income_poverty_ratio,0.52,1.0,0.043478260869565216
income_poverty_ratio,0.52,2.0,0.4782608695652174
income_poverty_ratio,0.52,3.0,0.08695652173913043
income_poverty_ratio,0.53,0.0,0.4166666666666667
income_poverty_ratio,0.53,1.0,0.0
income_poverty_ratio,0.53,2.0,0.4166666666666667
income_poverty_ratio,0.53,3.0,0.16666666666666666
income_poverty_ratio,0.54,0.0,0.3333333333333333
income_poverty_ratio,0.54,1.0,0.0
income_poverty_ratio,0.54,2.0,0.4074074074074074
income_poverty_ratio,0.54,3.0,0.25925925925925924
income_poverty_ratio,0.55,0.0,0.3076923076923077
income_poverty_ratio,0.55,1.0,0.15384615384615385
income_poverty_ratio,0.55,2.0,0.15384615384615385
income_poverty_ratio,0.55,3.0,0.38461538461538464
income_poverty_ratio,0.56,0.0,0.2916666666666667
income_poverty_ratio,0.56,1.0,0.041666666666666664
income_poverty_ratio,0.56,2.0,0.375
income_poverty_ratio,0.56,3.0,0.2916666666666667
income_poverty_ratio,0.57,0.0,0.4444444444444444
income_poverty_ratio,0.57,1.0,0.05555555555555555
income_poverty_ratio,0.57,2.0,0.2222222222222222
income_poverty_ratio,0.57,3.0,0.2777777777777778
income_poverty_ratio,0.58,0.0,0.27586206896551724
income_poverty_ratio,0.58,1.0,0.10344827586206896
income_poverty_ratio,0.58,2.0,0.3793103448275862
income_poverty_ratio,0.58,3.0,0.2413793103448276
income_poverty_ratio,0.59,0.0,0.19047619047619047
income_poverty_ratio,0.59,1.0,0.0
income_poverty_ratio,0.59,2.0,0.5714285714285714
income_poverty_ratio,0.59,3.0,0.23809523809523808
income_poverty_ratio,0.6,0.0,0.23076923076923078
income_poverty_ratio,0.6,1.0,0.0
income_poverty_ratio,0.6,2.0,0.23076923076923078
income_poverty_ratio,0.6,3.0,0.5384615384615384
income_poverty_ratio,0.61,0.0,0.3103448275862069
income_poverty_ratio,0.61,1.0,0.034482758620689655
income_poverty_ratio,0.61,2.0,0.3793103448275862
income_poverty_ratio,0.61,3.0,0.27586206896551724
income_poverty_ratio,0.62,0.0,0.3333333333333333
income_poverty_ratio,0.62,1.0,0.07407407407407407
income_poverty_ratio,0.62,2.0,0.4444444444444444
income_poverty_ratio,0.62,3.0,0.14814814814814814
income_poverty_ratio,0.63,0.0,0.23076923076923078
income_poverty_ratio,0.63,1.0,0.0
income_poverty_ratio,0.63,2.0,0.46153846153846156
income_poverty_ratio,0.63,3.0,0.3076923076923077
income_poverty_ratio,0.64,0.0,0.43243243243243246
income_poverty_ratio,0.64,1.0,0.05405405405405406
income_poverty_ratio,0.64,2.0,0.35135135135135137
income_poverty_ratio,0.64,3.0,0.16216216216216217
income_poverty_ratio,0.65,0.0,0.2894736842105263
income_poverty_ratio,0.65,1.0,0.05263157894736842
income_poverty_ratio,0.65,2.0,0.34210526315789475
income_poverty_ratio,0.65,3.0,0.3157894736842105
income_poverty_ratio,0.66,0.0,0.2916666666666667
