observed_fraction,observed_rows,temporal_test_rows,latent_dim,reconstruction_id,avg_ks_statistic,avg_wasserstein_distance,correlation_structure_distance,covariance_structure_distance,target_distribution_l1_difference,test_spd,reconstructed_spd,runtime_seconds,spd_absolute_gap,utility_accuracy,utility_balanced_accuracy,utility_macro_f1,utility_roc_auc_ovr
0.05,381,2872,12,1,0.31565691736304546,0.4070992394753769,5.36470522499021,3.9608549676252096,0.10306406685236771,0.03492082430605775,0.014889226733006966,0.08966779708862305,0.020031597573050786,0.7538300835654597,0.6005223408347139,0.5953370233693329,0.8881598142338482
0.05,381,2872,12,2,0.315169452181987,0.40538157963801186,5.383731292478366,4.034090086473439,0.08565459610027859,0.03492082430605775,0.016086845394304494,0.09049367904663086,0.018833978911753257,0.7712395543175488,0.6182748315358814,0.6090020871603936,0.8972938410904296
0.05,381,2872,12,3,0.3141132776230269,0.40606386136912087,5.364785616401151,3.9676773881505527,0.116991643454039,0.03492082430605775,0.004636556971566286,0.0912332534790039,0.030284267334491466,0.7520891364902507,0.5988720129313402,0.5943718167058563,0.8973220200978644
0.05,381,2872,12,4,0.31381151346332403,0.4049589620462472,5.340023717236646,3.960050026816481,0.10167130919220053,0.03492082430605775,0.0016204184366746255,0.08322739601135254,0.033300405869383126,0.7576601671309192,0.6034935622640375,0.5979050406061431,0.8796333010638152
0.05,381,2872,12,5,0.31657381615598884,0.4078853351206503,5.301375517768828,3.863416278497984,0.08286908077994429,0.03492082430605775,0.010276588593563812,0.08719730377197266,0.02464423571249394,0.75,0.596126883134464,0.592233857053852,0.8835891064794559
0.05,381,2872,16,1,0.30396935933147634,0.40346242090423984,4.104690542121997,3.5698362000148296,0.08286908077994429,0.03492082430605775,0.010276588593563812,0.10985207557678223,0.02464423571249394,0.7879526462395543,0.6364307215485807,0.6222619924257949,0.911465403022597
0.05,381,2872,16,2,0.30676648096564535,0.40633897941647806,4.130211381518011,3.581325952473019,0.12256267409470753,0.03492082430605775,0.009020833019975194,0.11016511917114258,0.025899991286082558,0.783774373259053,0.6328631473459381,0.6200170557533068,0.900923675402846
0.05,381,2872,16,3,0.304491643454039,0.4030990288943229,4.043386240980395,3.5120676742196952,0.14345403899721454,0.03492082430605775,0.006319446466175632,0.11387205123901367,0.02860137783988212,0.7935236768802229,0.6401698621666979,0.6256326036147671,0.8964037619549161
0.05,381,2872,16,4,0.3064531104921077,0.39989137659130036,4.083989668962493,3.497435635585047,0.12395543175487468,0.03492082430605775,0.018203156067233717,0.11602640151977539,0.016717668238824035,0.778899721448468,0.628609139608192,0.6168058731497394,0.9054427372849164
0.05,381,2872,16,5,0.30634865366759517,0.4007379443230967,4.104576316353759,3.5186780735984238,0.14206128133704737,0.03492082430605775,0.009137770810739493,0.11242556571960449,0.02578305349531826,0.7883008356545961,0.6371416309969681,0.621867930923049,0.9054368551845196
0.05,381,2872,20,1,0.3017641597028783,0.4097989731997908,3.5391264697676403,3.34747901892054,0.14206128133704737,0.03492082430605775,0.009137770810739493,0.15024852752685547,0.02578305349531826,0.7862116991643454,0.635012595862315,0.6216921410329765,0.9097710841941027
0.05,381,2872,20,2,0.2995241411327762,0.408351157629767,3.5162006812347597,3.2886463297969195,0.1100278551532034,0.03492082430605775,0.0047657224948794985,0.15029311180114746,0.030155101811178253,0.7896935933147632,0.637200151596219,0.6243103700810467,0.9160494496111525
0.05,381,2872,20,3,0.2987581244196843,0.4070984607806153,3.5198077548688484,3.3470750613797375,0.11281337047353761,0.03492082430605775,0.02970251353988057,0.15715551376342773,0.005218310766177181,0.7907381615598886,0.6386687399678972,0.6238438617232274,0.9128218695296724
0.05,381,2872,20,4,0.30009285051067786,0.40916121653668414,3.582656674403341,3.3427278293887834,0.09818941504178275,0.03492082430605775,0.007039780872513807,0.1481778621673584,0.027881043433543945,0.7889972144846796,0.6374704610308543,0.6226590106007067,0.9082050176527319
0.05,381,2872,20,5,0.2980849582172702,0.40826408548265714,3.5301324120268243,3.292313820152006,0.07869080779944287,0.03492082430605775,0.008777180495823322,0.15033507347106934,0.02614364381023443,0.7858635097493036,0.6346608679232715,0.6211393854179219,0.9085255627423512
0.05,381,2872,23,1,0.2990482822655524,0.40597571693653,3.0819825321532335,3.161722380089418,0.09818941504178275,0.03492082430605775,0.007039780872513807,0.18048930168151855,0.027881043433543945,0.7245821727019499,0.6846892378844627,0.6404511404921096,0.9060855280759091
0.05,381,2872,23,2,0.2954387186629527,0.4036135161368969,3.0738506299166914,3.169056687458808,0.07869080779944287,0.03492082430605775,0.008777180495823322,0.1764068603515625,0.02614364381023443,0.7392061281337048,0.6722040833698137,0.649546082592618,0.9068671782460442
0.05,381,2872,23,3,0.29782961931290614,0.40818021131466914,3.0668761925528245,3.101398929179692,0.08495821727019504,0.03492082430605775,0.0069617043168487824,0.18236398696899414,0.02795911998920897,0.7677576601671309,0.6648829284011868,0.6607216761024866,0.9074448150993619
0.05,381,2872,23,4,0.2962627669452182,0.4038740906499207,3.0165591399980705,3.0486881030643733,0.10306406685236766,0.03492082430605775,0.0032391481258798316,0.18042850494384766,0.03168167618017792,0.758008356545961,0.6619130713231837,0.6523848032471328,0.9068894072770413
0.05,381,2872,23,5,0.29811977715877436,0.40310914810374726,3.0695814365124643,3.17840103694713,0.11838440111420614,0.03492082430605775,0.002260635781983489,0.1832599639892578,0.03266018852407426,0.7301532033426184,0.6979896274137847,0.6530450285305912,0.9049813463896381
0.1,762,2872,12,1,0.3131847725162489,0.40974028721181344,5.183023389010936,3.725474176789766,0.08844011142061287,0.03492082430605775,0.006017225325884529,0.08851885795593262,0.028903598980173223,0.7600974930362117,0.6042110187674186,0.59967074507955,0.9043540193837738
0.1,762,2872,12,2,0.30995821727019496,0.4057989826259819,5.140548139919953,3.709601904930621,0.11281337047353766,0.03492082430605775,0.012679394671193223,0.09005904197692871,0.02224142963486453,0.7597493036211699,0.6091212092887333,0.6014552164792297,0.9002538364423336
0.1,762,2872,12,3,0.3127205199628598,0.40641705760401087,5.203908080823559,3.715683062267809,0.1142061281337047,0.03492082430605775,0.008663842240484582,0.0933694839477539,0.02625698206557317,0.7715877437325905,0.6188943843861267,0.6094438618467644,0.910276825805249
0.1,762,2872,12,4,0.31087511606313833,0.4047444833057584,5.1486010713875014,3.6977619736356,0.11768802228412253,0.03492082430605775,0.019439519524305365,0.0900886058807373,0.015481304781752386,0.7607938718662952,0.608046283582699,0.600552102440169,0.8989911953683414
0.1,762,2872,12,5,0.3118732590529248,0.4083240211354046,5.155496948387105,3.6461734507228636,0.10445682451253487,0.03492082430605775,0.02333623155056566,0.08506488800048828,0.01158459275549209,0.7562674094707521,0.6039009569578474,0.5978854458552569,0.9044399942069844
0.1,762,2872,16,1,0.29935004642525537,0.3986694434550774,3.886341549356074,3.268899541594133,0.10445682451253487,0.03492082430605775,0.02333623155056566,0.10909867286682129,0.01158459275549209,0.7872562674094707,0.6362164481897628,0.6215851730482089,0.9092934482668424
0.1,762,2872,16,2,0.29711002785515317,0.39538062939226876,3.910315555390414,3.252321839559153,0.11211699164345411,0.03492082430605775,0.0027959520345826605,0.12166452407836914,0.03212487227147509,0.7910863509749304,0.6381009256394223,0.6234922286427951,0.9103518416661489
0.1,762,2872,16,3,0.29629758588672234,0.4016013606065715,3.8565970183110143,3.268891123023482,0.10445682451253482,0.03492082430605775,0.01919287687043983,0.11991071701049805,0.015727947435617923,0.783774373259053,0.6332424400652369,0.619693000527845,0.9106341406187679
